NAME,HISP,SEX,POP,state,county
Coahoma County, Mississippi,0,0,22124,28,027
Coahoma County, Mississippi,1,0,21757,28,027
Coahoma County, Mississippi,2,0,367,28,027
Coahoma County, Mississippi,0,1,10254,28,027
Coahoma County, Mississippi,1,1,10059,28,027
Coahoma County, Mississippi,2,1,195,28,027
Coahoma County, Mississippi,0,2,11870,28,027
Coahoma County, Mississippi,1,2,11698,28,027
Coahoma County, Mississippi,2,2,172,28,027
Jasper County, Mississippi,0,0,16383,28,061
Jasper County, Mississippi,1,0,16146,28,061
Jasper County, Mississippi,2,0,237,28,061
Jasper County, Mississippi,0,2,8459,28,061
Jasper County, Mississippi,0,1,7924,28,061
Jasper County, Mississippi,1,1,7792,28,061
Jasper County, Mississippi,2,1,132,28,061
Jasper County, Mississippi,1,2,8354,28,061
Jasper County, Mississippi,2,2,105,28,061
Jones County, Mississippi,0,0,68098,28,067
Jones County, Mississippi,1,0,64901,28,067
Jones County, Mississippi,2,0,3197,28,067
Walthall County, Mississippi,0,0,14286,28,147
Walthall County, Mississippi,1,0,13975,28,147
Walthall County, Mississippi,2,0,311,28,147
Union County, Mississippi,0,0,28815,28,145
Union County, Mississippi,1,0,27530,28,145
Union County, Mississippi,2,0,1285,28,145
Monroe County, Mississippi,0,0,35252,28,095
Monroe County, Mississippi,1,0,34775,28,095
Monroe County, Mississippi,2,0,477,28,095
Marshall County, Mississippi,0,0,35294,28,093
Marshall County, Mississippi,1,0,33893,28,093
Marshall County, Mississippi,2,0,1401,28,093
Pontotoc County, Mississippi,0,0,32174,28,115
Pontotoc County, Mississippi,1,0,29827,28,115
Pontotoc County, Mississippi,2,0,2347,28,115
Holmes County, Mississippi,0,0,17010,28,051
Holmes County, Mississippi,1,0,16808,28,051
Holmes County, Mississippi,2,0,202,28,051
Hinds County, Mississippi,0,0,231840,28,049
Hinds County, Mississippi,1,0,228227,28,049
Hinds County, Mississippi,2,0,3613,28,049
Amite County, Mississippi,0,0,12297,28,005
Amite County, Mississippi,1,0,12131,28,005
Amite County, Mississippi,2,0,166,28,005
Madison County, Mississippi,0,0,106272,28,089
Madison County, Mississippi,1,0,102938,28,089
Madison County, Mississippi,2,0,3334,28,089
Calhoun County, Mississippi,0,0,14361,28,013
Calhoun County, Mississippi,1,0,13459,28,013
Calhoun County, Mississippi,2,0,902,28,013
Marion County, Mississippi,0,0,24573,28,091
Marion County, Mississippi,1,0,24140,28,091
Marion County, Mississippi,2,0,433,28,091
Tishomingo County, Mississippi,0,0,19383,28,141
Tishomingo County, Mississippi,1,0,18718,28,141
Tishomingo County, Mississippi,2,0,665,28,141
Wayne County, Mississippi,0,0,20183,28,153
Wayne County, Mississippi,1,0,19861,28,153
Wayne County, Mississippi,2,0,322,28,153
Washington County, Mississippi,0,0,43909,28,151
Washington County, Mississippi,1,0,43148,28,151
Washington County, Mississippi,2,0,761,28,151
Benton County, Mississippi,0,0,8259,28,009
Benton County, Mississippi,1,0,8041,28,009
Benton County, Mississippi,2,0,218,28,009
Franklin County, Mississippi,0,0,7713,28,037
Franklin County, Mississippi,1,0,7624,28,037
Franklin County, Mississippi,2,0,89,28,037
Greene County, Mississippi,0,0,13586,28,041
Greene County, Mississippi,1,0,13417,28,041
Greene County, Mississippi,2,0,169,28,041
George County, Mississippi,0,0,24500,28,039
George County, Mississippi,1,0,23755,28,039
George County, Mississippi,2,0,745,28,039
Quitman County, Mississippi,0,0,6792,28,119
Quitman County, Mississippi,1,0,6668,28,119
Quitman County, Mississippi,2,0,124,28,119
Prentiss County, Mississippi,0,0,25126,28,117
Prentiss County, Mississippi,1,0,24729,28,117
Prentiss County, Mississippi,2,0,397,28,117
Pearl River County, Mississippi,0,0,55535,28,109
Pearl River County, Mississippi,1,0,53730,28,109
Pearl River County, Mississippi,2,0,1805,28,109
Panola County, Mississippi,0,0,34192,28,107
Panola County, Mississippi,1,0,33434,28,107
Panola County, Mississippi,2,0,758,28,107
Leake County, Mississippi,0,0,22786,28,079
Leake County, Mississippi,1,0,21681,28,079
Leake County, Mississippi,2,0,1105,28,079
Noxubee County, Mississippi,0,0,10417,28,103
Noxubee County, Mississippi,1,0,10265,28,103
Noxubee County, Mississippi,2,0,152,28,103
Neshoba County, Mississippi,0,0,29118,28,099
Neshoba County, Mississippi,1,0,28468,28,099
Neshoba County, Mississippi,2,0,650,28,099
Rankin County, Mississippi,0,0,155271,28,121
Rankin County, Mississippi,1,0,150890,28,121
Rankin County, Mississippi,2,0,4381,28,121
Tate County, Mississippi,0,0,28321,28,137
Tate County, Mississippi,1,0,27540,28,137
Tate County, Mississippi,2,0,781,28,137
Perry County, Mississippi,0,0,11973,28,111
Perry County, Mississippi,1,0,11786,28,111
Perry County, Mississippi,2,0,187,28,111
Yalobusha County, Mississippi,0,0,12108,28,161
Yalobusha County, Mississippi,1,0,11901,28,161
Yalobusha County, Mississippi,2,0,207,28,161
Chickasaw County, Mississippi,0,0,17103,28,017
Chickasaw County, Mississippi,1,0,16182,28,017
Chickasaw County, Mississippi,2,0,921,28,017
Carroll County, Mississippi,0,0,9947,28,015
Carroll County, Mississippi,1,0,9784,28,015
Carroll County, Mississippi,2,0,163,28,015
Copiah County, Mississippi,0,0,28065,28,029
Copiah County, Mississippi,1,0,27131,28,029
Copiah County, Mississippi,2,0,934,28,029
Grenada County, Mississippi,0,0,20758,28,043
Grenada County, Mississippi,1,0,20425,28,043
Grenada County, Mississippi,2,0,333,28,043
Lawrence County, Mississippi,0,0,12586,28,077
Lawrence County, Mississippi,1,0,12312,28,077
Lawrence County, Mississippi,2,0,274,28,077
Jefferson County, Mississippi,0,0,6990,28,063
Jefferson County, Mississippi,1,0,6927,28,063
Jefferson County, Mississippi,2,0,63,28,063
Newton County, Mississippi,0,0,21018,28,101
Newton County, Mississippi,1,0,20608,28,101
Newton County, Mississippi,2,0,410,28,101
Camden County, Missouri,0,0,46305,29,029
Camden County, Missouri,1,0,44985,29,029
Camden County, Missouri,2,0,1320,29,029
Clark County, Missouri,0,0,6797,29,045
Clark County, Missouri,1,0,6738,29,045
Clark County, Missouri,2,0,59,29,045
Grant County, Nebraska,0,0,623,31,075
Dawes County, Nebraska,0,0,8589,31,045
Dawes County, Nebraska,1,0,8095,31,045
Dawes County, Nebraska,2,0,494,31,045
Ocean County, New Jersey,0,0,607186,34,029
Ocean County, New Jersey,1,0,549368,34,029
Ocean County, New Jersey,2,0,57818,34,029
Jefferson County, Missouri,0,0,225081,29,099
Jefferson County, Missouri,1,0,220377,29,099
Jefferson County, Missouri,2,0,4704,29,099
Jasper County, Missouri,0,0,121328,29,097
Jasper County, Missouri,1,0,111058,29,097
Jasper County, Missouri,2,0,10270,29,097
Sullivan County, Missouri,0,0,6089,29,211
Sullivan County, Missouri,1,0,4958,29,211
Sullivan County, Missouri,2,0,1131,29,211
Lewis County, Missouri,0,0,9776,29,111
Lewis County, Missouri,1,0,9594,29,111
Lewis County, Missouri,2,0,182,29,111
McDonald County, Missouri,0,0,22837,29,119
McDonald County, Missouri,1,0,20234,29,119
McDonald County, Missouri,2,0,2603,29,119
New Madrid County, Missouri,0,0,17076,29,143
New Madrid County, Missouri,1,0,16716,29,143
New Madrid County, Missouri,2,0,360,29,143
Perry County, Missouri,0,0,19136,29,157
Perry County, Missouri,1,0,18665,29,157
Perry County, Missouri,2,0,471,29,157
Polk County, Missouri,0,0,32149,29,167
Polk County, Missouri,1,0,31336,29,167
Polk County, Missouri,2,0,813,29,167
Ralls County, Missouri,0,0,10309,29,173
Ralls County, Missouri,1,0,10171,29,173
Ralls County, Missouri,2,0,138,29,173
Ray County, Missouri,0,0,23018,29,177
Ray County, Missouri,1,0,22423,29,177
Ray County, Missouri,2,0,595,29,177
Custer County, Montana,0,0,11402,30,017
Custer County, Montana,1,0,10976,30,017
Custer County, Montana,2,0,426,30,017
Schuyler County, Missouri,0,0,4660,29,197
Schuyler County, Missouri,1,0,4579,29,197
Schuyler County, Missouri,2,0,81,29,197
Scotland County, Missouri,0,0,4902,29,199
Scotland County, Missouri,1,0,4848,29,199
Scotland County, Missouri,2,0,54,29,199
Hill County, Montana,0,0,16484,30,041
Hill County, Montana,1,0,15822,30,041
Hill County, Montana,2,0,662,30,041
Chouteau County, Montana,0,0,5635,30,015
Chouteau County, Montana,1,0,5474,30,015
Chouteau County, Montana,2,0,161,30,015
Powder River County, Montana,0,0,1682,30,075
Powder River County, Montana,1,0,1643,30,075
Powder River County, Montana,2,0,39,30,075
Lincoln County, Montana,0,0,19980,30,053
Lincoln County, Montana,1,0,19312,30,053
Lincoln County, Montana,2,0,668,30,053
Liberty County, Montana,0,0,2337,30,051
Liberty County, Montana,1,0,2318,30,051
Liberty County, Montana,2,0,19,30,051
Park County, Montana,0,0,16606,30,067
Park County, Montana,1,0,16057,30,067
Park County, Montana,2,0,549,30,067
Roosevelt County, Montana,0,0,11004,30,085
