County Name,Vehicles Available (DP04_0057E),Vehicles Available - Percent (DP04_0057PE),No Vehicles Available (DP04_0058E),No Vehicles Available - Percent (DP04_0058PE),FIPS_State,FIPS_County
Washington,5237,5237.0,780,14.9,37,187
Scotland,12951,12951.0,1473,11.4,37,165
Bertie,8008,8008.0,905,11.3,37,015
Halifax,21061,21061.0,2207,10.5,37,083
Clay,5300,5300.0,554,10.5,37,043
Lenoir,23494,23494.0,2320,9.9,37,107
Edgecombe,20800,20800.0,2043,9.8,37,065
Richmond,18201,18201.0,1779,9.8,37,153
Vance,16895,16895.0,1636,9.7,37,181
Wilson,31968,31968.0,2962,9.3,37,195
Warren,8122,8122.0,745,9.2,37,185
Hertford,8903,8903.0,797,9.0,37,091
Northampton,8424,8424.0,759,9.0,37,131
Robeson,45881,45881.0,4068,8.9,37,155
Caswell,8993,8993.0,787,8.8,37,033
Pitt,70683,70683.0,6137,8.7,37,147
Martin,9622,9622.0,791,8.2,37,117
Bladen,13394,13394.0,1097,8.2,37,017
Chowan,6389,6389.0,495,7.7,37,041
Wayne,48198,48198.0,3670,7.6,37,191
Swain,5741,5741.0,437,7.6,37,173
Graham,3521,3521.0,258,7.3,37,075
Nash,37371,37371.0,2700,7.2,37,127
Cleveland,36089,36089.0,2598,7.2,37,045
Durham,130128,130128.0,9128,7.0,37,063
Pasquotank,14785,14785.0,1032,7.0,37,139
Anson,9803,9803.0,689,7.0,37,007
Cumberland,127532,127532.0,8802,6.9,37,051
McDowell,18275,18275.0,1260,6.9,37,111
Forsyth,148890,148890.0,10304,6.9,37,067
Greene,7218,7218.0,494,6.8,37,079
Macon,16062,16062.0,1084,6.7,37,113
Rockingham,38532,38532.0,2594,6.7,37,157
Rutherford,27525,27525.0,1812,6.6,37,161
Jones,4069,4069.0,264,6.5,37,103
Guilford,208234,208234.0,13328,6.4,37,081
Surry,29001,29001.0,1867,6.4,37,171
Rowan,54137,54137.0,3403,6.3,37,159
Beaufort,20219,20219.0,1282,6.3,37,013
New Hanover,97998,97998.0,6219,6.3,37,129
Columbus,21545,21545.0,1352,6.3,37,047
Pamlico,5506,5506.0,337,6.1,37,137
Mitchell,6402,6402.0,382,6.0,37,121
Alleghany,5001,5001.0,301,6.0,37,005
Gaston,85286,85286.0,5003,5.9,37,071
Craven,41002,41002.0,2414,5.9,37,049
Sampson,23162,23162.0,1309,5.7,37,163
Buncombe,105177,105177.0,5920,5.6,37,021
Mecklenburg,421950,421950.0,23730,5.6,37,119
Yancey,7466,7466.0,395,5.3,37,199
Montgomery,10265,10265.0,539,5.3,37,123
Tyrrell,1652,1652.0,87,5.3,37,177
Person,16153,16153.0,838,5.2,37,145
Caldwell,32798,32798.0,1694,5.2,37,027
Watauga,21453,21453.0,1108,5.2,37,189
Davidson,67555,67555.0,3451,5.1,37,057
Wilkes,28902,28902.0,1466,5.1,37,193
Davie,16303,16303.0,819,5.0,37,059
Gates,4690,4690.0,233,5.0,37,073
Jackson,17008,17008.0,826,4.9,37,099
Catawba,62940,62940.0,3034,4.8,37,035
Orange,53222,53222.0,2535,4.8,37,135
Harnett,46525,46525.0,2244,4.8,37,085
Avery,6569,6569.0,313,4.8,37,011
Granville,21567,21567.0,1044,4.8,37,077
Stanly,23849,23849.0,1120,4.7,37,167
Alamance,65455,65455.0,3108,4.7,37,001
Yadkin,15247,15247.0,715,4.7,37,197
Lee,22290,22290.0,1050,4.7,37,105
Duplin,21437,21437.0,994,4.6,37,061
Johnston,71332,71332.0,3287,4.6,37,101
Cherokee,12546,12546.0,583,4.6,37,039
Ashe,11885,11885.0,548,4.6,37,009
Hoke,18448,18448.0,821,4.5,37,093
Burke,35664,35664.0,1597,4.5,37,023
Polk,9252,9252.0,411,4.4,37,149
Haywood,26891,26891.0,1174,4.4,37,087
Franklin,25729,25729.0,1120,4.4,37,069
Moore,40575,40575.0,1781,4.4,37,125
Randolph,56790,56790.0,2366,4.2,37,151
Carteret,30060,30060.0,1265,4.2,37,031
Chatham,29904,29904.0,1216,4.1,37,037
Cabarrus,72843,72843.0,2952,4.1,37,025
Lincoln,33621,33621.0,1308,3.9,37,109
Henderson,49715,49715.0,1955,3.9,37,089
Onslow,66131,66131.0,2584,3.9,37,133
Transylvania,14648,14648.0,539,3.7,37,175
Wake,410552,410552.0,15217,3.7,37,183
Madison,8373,8373.0,302,3.6,37,115
Perquimans,5886,5886.0,204,3.5,37,143
Alexander,14049,14049.0,488,3.5,37,003
Pender,22812,22812.0,774,3.4,37,141
Iredell,68374,68374.0,2224,3.3,37,097
Camden,3912,3912.0,120,3.1,37,029
Brunswick,59416,59416.0,1821,3.1,37,019
Stokes,19608,19608.0,569,2.9,37,169
Union,77791,77791.0,2068,2.7,37,179
Dare,15830,15830.0,417,2.6,37,055
Currituck,10868,10868.0,241,2.2,37,053
Hyde,2056,2056.0,36,1.8,37,095
