Year,Death_Cause_Name,113_Cause_Name,State,Deaths,Age-Adjusted Death Rate
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",United States,169936,49.4
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alabama,2703,53.8
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alaska,436,63.7
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arizona,4184,56.2
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arkansas,1625,51.8
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",California,13840,33.2
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Colorado,3037,53.6
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Connecticut,2078,53.2
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Delaware,608,61.9
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",District of Columbia,427,61
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Florida,13059,56.1
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Georgia,4712,45.2
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Hawaii,585,35.7
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Idaho,876,49.8
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Illinois,6019,44.4
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Indiana,3978,58.7
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Iowa,1536,42.8
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kansas,1567,49.4
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kentucky,3264,72.9
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Louisiana,2780,58.9
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maine,990,68
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maryland,2408,36.9
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Massachusetts,3821,51.5
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Michigan,5623,53
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Minnesota,2788,44.6
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Mississippi,1738,56.3
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Missouri,3776,58.8
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Montana,579,50.2
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nebraska,811,38.5
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nevada,1496,47.8
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Hampshire,907,62.9
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Jersey,4482,47.3
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Mexico,1460,68.3
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New York,7687,35.5
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Carolina,5985,56.3
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Dakota,339,41.3
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Ohio,8971,75.1
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oklahoma,2563,62.5
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oregon,2076,44.8
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Pennsylvania,9527,70.2
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Rhode Island,718,60
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Carolina,3147,60.2
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Dakota,537,56.1
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Tennessee,4435,63
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Texas,10763,38.8
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Utah,1238,44.2
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Vermont,394,56.9
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Virginia,3922,44
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Washington,3455,44
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",West Virginia,1892,100.3
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wisconsin,3746,58.3
2017,Unintentional injuries,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wyoming,348,56.9
2017,All causes,All Causes,United States,2813503,731.9
2017,All causes,All Causes,Alabama,53238,917.7
2017,All causes,All Causes,Alaska,4411,708.8
2017,All causes,All Causes,Arizona,57758,678.5
2017,All causes,All Causes,Arkansas,32588,900.1
2017,All causes,All Causes,California,268189,618.7
2017,All causes,All Causes,Colorado,38063,663.4
2017,All causes,All Causes,Connecticut,31312,651.2
2017,All causes,All Causes,Delaware,9178,749.6
2017,All causes,All Causes,District of Columbia,4965,725.4
2017,All causes,All Causes,Florida,203636,672.1
2017,All causes,All Causes,Georgia,83098,793.7
2017,All causes,All Causes,Hawaii,11390,584.9
2017,All causes,All Causes,Idaho,14011,741.8
2017,All causes,All Causes,Illinois,109721,724.2
2017,All causes,All Causes,Indiana,65597,848.6
2017,All causes,All Causes,Iowa,30530,737
2017,All causes,All Causes,Kansas,27063,771.2
2017,All causes,All Causes,Kentucky,48212,929.9
2017,All causes,All Causes,Louisiana,45804,881.1
2017,All causes,All Causes,Maine,14676,771.6
2017,All causes,All Causes,Maryland,49926,718.1
2017,All causes,All Causes,Massachusetts,58803,677.1
2017,All causes,All Causes,Michigan,97602,783.5
2017,All causes,All Causes,Minnesota,44371,656.4
2017,All causes,All Causes,Mississippi,32280,951.3
2017,All causes,All Causes,Missouri,61876,820.1
2017,All causes,All Causes,Montana,10200,757.5
2017,All causes,All Causes,Nebraska,16878,726
2017,All causes,All Causes,Nevada,24657,765.5
2017,All causes,All Causes,New Hampshire,12504,717.3
2017,All causes,All Causes,New Jersey,74846,667.5
2017,All causes,All Causes,New Mexico,18673,754.7
2017,All causes,All Causes,New York,155358,623.6
2017,All causes,All Causes,North Carolina,93157,785.6
2017,All causes,All Causes,North Dakota,6415,692.7
2017,All causes,All Causes,Ohio,123648,849.7
2017,All causes,All Causes,Oklahoma,40452,902.4
2017,All causes,All Causes,Oregon,36624,717.2
2017,All causes,All Causes,Pennsylvania,135656,777.3
2017,All causes,All Causes,Rhode Island,10157,713.4
2017,All causes,All Causes,South Carolina,49441,828
2017,All causes,All Causes,South Dakota,7996,736.6
2017,All causes,All Causes,Tennessee,70096,897.1
2017,All causes,All Causes,Texas,198106,735.7
2017,All causes,All Causes,Utah,18035,700.1
2017,All causes,All Causes,Vermont,6007,714.9
2017,All causes,All Causes,Virginia,68579,719.4
2017,All causes,All Causes,Washington,56995,688.6
2017,All causes,All Causes,West Virginia,23276,957.1
2017,All causes,All Causes,Wisconsin,52681,722
2017,All causes,All Causes,Wyoming,4768,714.6
2017,Alzheimer's disease,Alzheimer's disease (G30),United States,121404,31
2017,Alzheimer's disease,Alzheimer's disease (G30),Alabama,2563,45.2
2017,Alzheimer's disease,Alzheimer's disease (G30),Alaska,98,22.1
2017,Alzheimer's disease,Alzheimer's disease (G30),Arizona,3058,35.1
2017,Alzheimer's disease,Alzheimer's disease (G30),Arkansas,1436,39.4
2017,Alzheimer's disease,Alzheimer's disease (G30),California,16238,37.1
2017,Alzheimer's disease,Alzheimer's disease (G30),Colorado,1830,34.2
2017,Alzheimer's disease,Alzheimer's disease (G30),Connecticut,1077,20.4
2017,Alzheimer's disease,Alzheimer's disease (G30),Delaware,377,30.6
2017,Alzheimer's disease,Alzheimer's disease (G30),District of Columbia,125,17.6
2017,Alzheimer's disease,Alzheimer's disease (G30),Florida,6980,20.7
2017,Alzheimer's disease,Alzheimer's disease (G30),Georgia,4290,46
2017,Alzheimer's disease,Alzheimer's disease (G30),Hawaii,465,19.7
2017,Alzheimer's disease,Alzheimer's disease (G30),Idaho,672,36.6
2017,Alzheimer's disease,Alzheimer's disease (G30),Illinois,4021,25.6
2017,Alzheimer's disease,Alzheimer's disease (G30),Indiana,2771,35.3
2017,Alzheimer's disease,Alzheimer's disease (G30),Iowa,1597,35.3
2017,Alzheimer's disease,Alzheimer's disease (G30),Kansas,894,24.3
2017,Alzheimer's disease,Alzheimer's disease (G30),Kentucky,1765,35
2017,Alzheimer's disease,Alzheimer's disease (G30),Louisiana,2188,43.7
2017,Alzheimer's disease,Alzheimer's disease (G30),Maine,601,30.4
2017,Alzheimer's disease,Alzheimer's disease (G30),Maryland,1191,17.1
2017,Alzheimer's disease,Alzheimer's disease (G30),Massachusetts,1841,19.9
2017,Alzheimer's disease,Alzheimer's disease (G30),Michigan,4428,34.5
2017,Alzheimer's disease,Alzheimer's disease (G30),Minnesota,2474,34.9
2017,Alzheimer's disease,Alzheimer's disease (G30),Mississippi,1626,49.6
2017,Alzheimer's disease,Alzheimer's disease (G30),Missouri,2545,32.3
2017,Alzheimer's disease,Alzheimer's disease (G30),Montana,285,20.9
2017,Alzheimer's disease,Alzheimer's disease (G30),Nebraska,698,28.5
2017,Alzheimer's disease,Alzheimer's disease (G30),Nevada,779,27.3
2017,Alzheimer's disease,Alzheimer's disease (G30),New Hampshire,436,24.8
2017,Alzheimer's disease,Alzheimer's disease (G30),New Jersey,2829,23.6
2017,Alzheimer's disease,Alzheimer's disease (G30),New Mexico,572,22.7
2017,Alzheimer's disease,Alzheimer's disease (G30),New York,3521,13.2
2017,Alzheimer's disease,Alzheimer's disease (G30),North Carolina,4289,37.3
2017,Alzheimer's disease,Alzheimer's disease (G30),North Dakota,387,36.5
2017,Alzheimer's disease,Alzheimer's disease (G30),Ohio,5117,33.6
2017,Alzheimer's disease,Alzheimer's disease (G30),Oklahoma,1752,39.4
2017,Alzheimer's disease,Alzheimer's disease (G30),Oregon,1850,36
2017,Alzheimer's disease,Alzheimer's disease (G30),Pennsylvania,4213,21.7
2017,Alzheimer's disease,Alzheimer's disease (G30),Rhode Island,435,27.3
2017,Alzheimer's disease,Alzheimer's disease (G30),South Carolina,2549,45
2017,Alzheimer's disease,Alzheimer's disease (G30),South Dakota,444,36.9
2017,Alzheimer's disease,Alzheimer's disease (G30),Tennessee,3522,46.7
2017,Alzheimer's disease,Alzheimer's disease (G30),Texas,9545,38.5
2017,Alzheimer's disease,Alzheimer's disease (G30),Utah,991,42.1
2017,Alzheimer's disease,Alzheimer's disease (G30),Vermont,370,42.9
2017,Alzheimer's disease,Alzheimer's disease (G30),Virginia,2549,27.6
2017,Alzheimer's disease,Alzheimer's disease (G30),Washington,3710,46
2017,Alzheimer's disease,Alzheimer's disease (G30),West Virginia,770,30.6
2017,Alzheimer's disease,Alzheimer's disease (G30),Wisconsin,2428,31.6
2017,Alzheimer's disease,Alzheimer's disease (G30),Wyoming,212,32.7
2017,Stroke,Cerebrovascular diseases (I60-I69),United States,146383,37.6
2017,Stroke,Cerebrovascular diseases (I60-I69),Alabama,2931,50
2017,Stroke,Cerebrovascular diseases (I60-I69),Alaska,190,35.1
2017,Stroke,Cerebrovascular diseases (I60-I69),Arizona,2681,30.8
2017,Stroke,Cerebrovascular diseases (I60-I69),Arkansas,1612,43.8
2017,Stroke,Cerebrovascular diseases (I60-I69),California,16355,37.6
2017,Stroke,Cerebrovascular diseases (I60-I69),Colorado,1988,35.8
2017,Stroke,Cerebrovascular diseases (I60-I69),Connecticut,1403,27.8
2017,Stroke,Cerebrovascular diseases (I60-I69),Delaware,571,46.2
2017,Stroke,Cerebrovascular diseases (I60-I69),District of Columbia,246,35.9
2017,Stroke,Cerebrovascular diseases (I60-I69),Florida,12602,38.9
