County Name,State Name,HISP,SEX,POP,state,county
Forsyth, North Carolina,0,0,382295,37,067
Jackson, North Carolina,0,0,43938,37,099
Jackson, North Carolina,1,0,41192,37,099
Jackson, North Carolina,2,0,2746,37,099
Iredell, North Carolina,0,0,181806,37,097
Iredell, North Carolina,1,0,167203,37,097
Iredell, North Carolina,2,0,14603,37,097
Hyde, North Carolina,0,0,4937,37,095
Hyde, North Carolina,1,0,4452,37,095
Hyde, North Carolina,2,0,485,37,095
Greene, North Carolina,0,0,21069,37,079
Greene, North Carolina,1,0,17761,37,079
Greene, North Carolina,2,0,3308,37,079
Granville, North Carolina,0,0,60443,37,077
Granville, North Carolina,1,0,55296,37,077
Granville, North Carolina,2,0,5147,37,077
Haywood, North Carolina,0,0,62317,37,087
Haywood, North Carolina,1,0,59645,37,087
Haywood, North Carolina,2,0,2672,37,087
Harnett, North Carolina,0,0,135976,37,085
Harnett, North Carolina,1,0,117798,37,085
Harnett, North Carolina,2,0,18178,37,085
Mitchell, North Carolina,0,0,14964,37,121
Mitchell, North Carolina,1,0,14041,37,121
Mitchell, North Carolina,2,0,923,37,121
Mecklenburg, North Carolina,0,0,1110356,37,119
Mecklenburg, North Carolina,1,0,957431,37,119
Mecklenburg, North Carolina,2,0,152925,37,119
Chowan, North Carolina,0,0,13943,37,041
Chowan, North Carolina,1,0,13421,37,041
Chowan, North Carolina,2,0,522,37,041
Alleghany, North Carolina,0,0,11137,37,005
Alleghany, North Carolina,1,0,10040,37,005
Alleghany, North Carolina,2,0,1097,37,005
Alexander, North Carolina,0,0,37497,37,003
Alexander, North Carolina,1,0,35709,37,003
Alexander, North Carolina,2,0,1788,37,003
Caldwell, North Carolina,0,0,82178,37,027
Caldwell, North Carolina,1,0,77324,37,027
Caldwell, North Carolina,2,0,4854,37,027
Camden, North Carolina,0,0,10867,37,029
Camden, North Carolina,1,0,10540,37,029
Camden, North Carolina,2,0,327,37,029
Catawba, North Carolina,0,0,159551,37,035
Catawba, North Carolina,1,0,143376,37,035
Catawba, North Carolina,2,0,16175,37,035
Cleveland, North Carolina,0,0,97947,37,045
Cleveland, North Carolina,1,0,94257,37,045
Cleveland, North Carolina,2,0,3690,37,045
Clay, North Carolina,0,0,11231,37,043
Clay, North Carolina,1,0,10797,37,043
Clay, North Carolina,2,0,434,37,043
Craven, North Carolina,0,0,102139,37,049
Craven, North Carolina,1,0,94369,37,049
Craven, North Carolina,2,0,7770,37,049
Edgecombe, North Carolina,0,0,51472,37,065
Edgecombe, North Carolina,1,0,48919,37,065
Edgecombe, North Carolina,2,0,2553,37,065
Hoke, North Carolina,0,0,55234,37,093
Hoke, North Carolina,1,0,47539,37,093
Hoke, North Carolina,2,0,7695,37,093
Henderson, North Carolina,0,0,117417,37,089
Henderson, North Carolina,1,0,105280,37,089
Henderson, North Carolina,2,0,12137,37,089
Northampton, North Carolina,0,0,19483,37,131
Northampton, North Carolina,1,0,18970,37,131
Northampton, North Carolina,2,0,513,37,131
Pitt, North Carolina,0,0,180742,37,147
Pitt, North Carolina,1,0,169012,37,147
Pitt, North Carolina,2,0,11730,37,147
Rowan, North Carolina,0,0,142088,37,159
Rowan, North Carolina,1,0,128688,37,159
Rowan, North Carolina,2,0,13400,37,159
Vance, North Carolina,0,0,44535,37,181
Vance, North Carolina,1,0,40860,37,181
Vance, North Carolina,2,0,3675,37,181
Cherokee, North Carolina,0,0,28612,37,039
Cherokee, North Carolina,1,0,27675,37,039
Cherokee, North Carolina,2,0,937,37,039
Currituck, North Carolina,0,0,27763,37,053
Currituck, North Carolina,1,0,26551,37,053
Currituck, North Carolina,2,0,1212,37,053
Cumberland, North Carolina,0,0,335509,37,051
Cumberland, North Carolina,1,0,294937,37,051
Cumberland, North Carolina,2,0,40572,37,051
Union, North Carolina,0,0,239859,37,179
Union, North Carolina,1,0,212344,37,179
Union, North Carolina,2,0,27515,37,179
Wilkes, North Carolina,0,0,68412,37,193
Wilkes, North Carolina,1,0,63684,37,193
Wilkes, North Carolina,2,0,4728,37,193
Wilson, North Carolina,0,0,81801,37,195
Wilson, North Carolina,1,0,72982,37,195
Wilson, North Carolina,2,0,8819,37,195
Forsyth, North Carolina,1,0,331467,37,067
Forsyth, North Carolina,2,0,50828,37,067
Lenoir, North Carolina,0,0,55949,37,107
Lenoir, North Carolina,1,0,51527,37,107
Lenoir, North Carolina,2,0,4422,37,107
Nash, North Carolina,0,0,94298,37,127
Nash, North Carolina,1,0,87358,37,127
Nash, North Carolina,2,0,6940,37,127
Moore, North Carolina,0,0,100880,37,125
Moore, North Carolina,1,0,93724,37,125
Moore, North Carolina,2,0,7156,37,125
Bladen, North Carolina,0,0,32722,37,017
Bladen, North Carolina,1,0,30184,37,017
Bladen, North Carolina,2,0,2538,37,017
Dare, North Carolina,0,0,37009,37,055
Dare, North Carolina,1,0,34148,37,055
Dare, North Carolina,2,0,2861,37,055
Carteret, North Carolina,0,0,69473,37,031
Carteret, North Carolina,1,0,66406,37,031
Carteret, North Carolina,2,0,3067,37,031
Warren, North Carolina,0,0,19731,37,185
Warren, North Carolina,1,0,18958,37,185
Warren, North Carolina,2,0,773,37,185
Bertie, North Carolina,0,0,18947,37,015
Bertie, North Carolina,1,0,18501,37,015
Bertie, North Carolina,2,0,446,37,015
Gates, North Carolina,0,0,11562,37,073
Gates, North Carolina,1,0,11286,37,073
Gates, North Carolina,2,0,276,37,073
Gaston, North Carolina,0,0,224529,37,071
Gaston, North Carolina,1,0,207515,37,071
Gaston, North Carolina,2,0,17014,37,071
Graham, North Carolina,0,0,8441,37,075
Graham, North Carolina,1,0,8125,37,075
Graham, North Carolina,2,0,316,37,075
Martin, North Carolina,0,0,22440,37,117
Martin, North Carolina,1,0,21524,37,117
Martin, North Carolina,2,0,916,37,117
Madison, North Carolina,0,0,21755,37,115
Madison, North Carolina,1,0,21223,37,115
Madison, North Carolina,2,0,532,37,115
Pamlico, North Carolina,0,0,12726,37,137
Pamlico, North Carolina,1,0,12184,37,137
Pamlico, North Carolina,2,0,542,37,137
Perquimans, North Carolina,0,0,13463,37,143
Perquimans, North Carolina,1,0,13093,37,143
Perquimans, North Carolina,2,0,370,37,143
Polk, North Carolina,0,0,20724,37,149
Polk, North Carolina,1,0,19501,37,149
Polk, North Carolina,2,0,1223,37,149
Randolph, North Carolina,0,0,143667,37,151
Randolph, North Carolina,1,0,126443,37,151
Randolph, North Carolina,2,0,17224,37,151
Rockingham, North Carolina,0,0,91010,37,157
Rockingham, North Carolina,1,0,85250,37,157
Rockingham, North Carolina,2,0,5760,37,157
Stokes, North Carolina,0,0,45591,37,169
Stokes, North Carolina,1,0,44084,37,169
Stokes, North Carolina,2,0,1507,37,169
Stanly, North Carolina,0,0,62806,37,167
Stanly, North Carolina,1,0,60020,37,167
Stanly, North Carolina,2,0,2786,37,167
Washington, North Carolina,0,0,11580,37,187
Washington, North Carolina,1,0,10927,37,187
Washington, North Carolina,2,0,653,37,187
Guilford, North Carolina,0,0,537174,37,081
Guilford, North Carolina,1,0,491983,37,081
Guilford, North Carolina,2,0,45191,37,081
