submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
09/21/2020,NC,198011,193633,4378,820,20,3571,3535,36,28,1,09/21/2020 12:00:00 AM,Agree,Agree
06/03/2020,NC,30909,30907,2,819,1,1046,1046,0,21,0,06/03/2020 12:00:00 AM,Agree,Agree
08/29/2021,NC,1204026,1023990,180036,6193,651,14939,13140,1799,58,11,08/29/2021 12:00:00 AM,Agree,Agree
02/09/2022,NC,2549395,2133953,415442,7871,2043,22903,19998,2905,89,15,02/09/2022 12:00:00 AM,Agree,Agree
03/08/2020,NC,2,2,0,0,0,0,0,0,0,0,03/08/2020 12:00:00 AM,Agree,Agree
03/26/2020,NC,660,660,0,117,0,4,4,0,1,0,03/26/2020 12:00:00 AM,Agree,Agree
08/27/2020,NC,164019,161427,2592,2161,101,2864,2854,10,22,0,08/27/2020 12:00:00 AM,Agree,Agree
06/28/2020,NC,62409,62374,35,1528,1,1418,1418,0,12,0,06/28/2020 12:00:00 AM,Agree,Agree
06/01/2021,NC,991675,851566,140109,290,87,13479,11888,1591,11,1,06/01/2021 12:00:00 AM,Agree,Agree
04/12/2022,NC,2643637,2206021,437616,838,199,24554,21404,3150,3,2,04/12/2022 12:00:00 AM,Agree,Agree
03/31/2022,NC,2636111,2200074,436037,758,142,24518,21371,3147,7,0,03/31/2022 12:00:00 AM,Agree,Agree
09/23/2020,NC,200413,195745,4668,1151,144,3631,3594,37,29,0,09/23/2020 12:00:00 AM,Agree,Agree
01/03/2021,NC,572091,520378,51713,6581,653,8204,7563,641,83,20,01/03/2021 12:00:00 AM,Agree,Agree
01/05/2022,NC,1785034,1499120,285914,24351,5324,20000,17588,2412,46,7,01/05/2022 12:00:00 AM,Agree,Agree
08/23/2020,NC,157754,155509,2245,1515,45,2761,2753,8,29,1,08/23/2020 12:00:00 AM,Agree,Agree
03/04/2021,NC,861879,754204,107675,2344,541,12403,10969,1434,21,2,03/04/2021 12:00:00 AM,Agree,Agree
05/29/2020,NC,26718,26717,1,1141,0,948,948,0,19,0,05/29/2020 12:00:00 AM,Agree,Agree
01/26/2022,NC,2377127,1993727,383400,22946,5283,21618,18953,2665,116,23,01/26/2022 12:00:00 AM,Agree,Agree
08/17/2020,NC,147792,146000,1792,884,30,2591,2585,6,31,0,08/17/2020 12:00:00 AM,Agree,Agree
