OrderDetailID,OrderID,Product_ID,Quantity,CustomerID,EmployeeID,OrderDate,ShipperID
1,10248,11,12,90,5,1996-07-04,3
2,10248,42,10,90,5,1996-07-04,3
3,10248,72,5,90,5,1996-07-04,3
4,10249,14,9,81,6,1996-07-05,1
5,10249,51,40,81,6,1996-07-05,1
6,10250,41,10,34,4,1996-07-08,2
7,10250,51,35,34,4,1996-07-08,2
8,10250,65,15,34,4,1996-07-08,2
9,10251,22,6,84,3,1996-07-08,1
10,10251,57,15,84,3,1996-07-08,1
11,10251,65,20,84,3,1996-07-08,1
12,10252,20,40,76,4,1996-07-09,2
13,10252,33,25,76,4,1996-07-09,2
14,10252,60,40,76,4,1996-07-09,2
15,10253,31,20,34,3,1996-07-10,2
16,10253,39,42,34,3,1996-07-10,2
17,10253,49,40,34,3,1996-07-10,2
18,10254,24,15,14,5,1996-07-11,2
19,10254,55,21,14,5,1996-07-11,2
20,10254,74,21,14,5,1996-07-11,2
21,10255,2,20,68,9,1996-07-12,3
22,10255,16,35,68,9,1996-07-12,3
23,10255,36,25,68,9,1996-07-12,3
24,10255,59,30,68,9,1996-07-12,3
25,10256,53,15,88,3,1996-07-15,2
26,10256,77,12,88,3,1996-07-15,2
27,10257,27,25,35,4,1996-07-16,3
28,10257,39,6,35,4,1996-07-16,3
29,10257,77,15,35,4,1996-07-16,3
30,10258,2,50,20,1,1996-07-17,1
31,10258,5,65,20,1,1996-07-17,1
32,10258,32,6,20,1,1996-07-17,1
33,10259,21,10,13,4,1996-07-18,3
34,10259,37,1,13,4,1996-07-18,3
35,10260,41,16,55,4,1996-07-19,1
36,10260,57,50,55,4,1996-07-19,1
37,10260,62,15,55,4,1996-07-19,1
38,10260,70,21,55,4,1996-07-19,1
39,10261,21,20,61,4,1996-07-19,2
40,10261,35,20,61,4,1996-07-19,2
41,10262,5,12,65,8,1996-07-22,3
42,10262,7,15,65,8,1996-07-22,3
43,10262,56,2,65,8,1996-07-22,3
44,10263,16,60,20,9,1996-07-23,3
45,10263,24,28,20,9,1996-07-23,3
46,10263,30,60,20,9,1996-07-23,3
47,10263,74,36,20,9,1996-07-23,3
48,10264,2,35,24,6,1996-07-24,3
49,10264,41,25,24,6,1996-07-24,3
50,10265,17,30,7,2,1996-07-25,1
51,10265,70,20,7,2,1996-07-25,1
52,10266,12,12,87,3,1996-07-26,3
53,10267,40,50,25,4,1996-07-29,1
54,10267,59,70,25,4,1996-07-29,1
55,10267,76,15,25,4,1996-07-29,1
56,10268,29,10,33,8,1996-07-30,3
57,10268,72,4,33,8,1996-07-30,3
58,10269,33,60,89,5,1996-07-31,1
59,10269,72,20,89,5,1996-07-31,1
60,10270,36,30,87,1,1996-08-01,1
61,10270,43,25,87,1,1996-08-01,1
62,10271,33,24,75,6,1996-08-01,2
63,10272,20,6,65,6,1996-08-02,2
64,10272,31,40,65,6,1996-08-02,2
65,10272,72,24,65,6,1996-08-02,2
66,10273,10,24,63,3,1996-08-05,3
67,10273,31,15,63,3,1996-08-05,3
68,10273,33,20,63,3,1996-08-05,3
69,10273,40,60,63,3,1996-08-05,3
70,10273,76,33,63,3,1996-08-05,3
71,10274,71,20,85,6,1996-08-06,1
72,10274,72,7,85,6,1996-08-06,1
73,10275,24,12,49,1,1996-08-07,1
74,10275,59,6,49,1,1996-08-07,1
75,10276,10,15,80,8,1996-08-08,3
76,10276,13,10,80,8,1996-08-08,3
77,10277,28,20,52,2,1996-08-09,3
78,10277,62,12,52,2,1996-08-09,3
79,10278,44,16,5,8,1996-08-12,2
80,10278,59,15,5,8,1996-08-12,2
81,10278,63,8,5,8,1996-08-12,2
82,10278,73,25,5,8,1996-08-12,2
83,10279,17,15,44,8,1996-08-13,2
84,10280,24,12,5,2,1996-08-14,1
85,10280,55,20,5,2,1996-08-14,1
86,10280,75,30,5,2,1996-08-14,1
87,10281,19,1,69,4,1996-08-14,1
88,10281,24,6,69,4,1996-08-14,1
89,10281,35,4,69,4,1996-08-14,1
90,10282,30,6,69,4,1996-08-15,1
91,10282,57,2,69,4,1996-08-15,1
92,10283,15,20,46,3,1996-08-16,3
93,10283,19,18,46,3,1996-08-16,3
94,10283,60,35,46,3,1996-08-16,3
95,10283,72,3,46,3,1996-08-16,3
96,10284,27,15,44,4,1996-08-19,1
97,10284,44,21,44,4,1996-08-19,1
98,10284,60,20,44,4,1996-08-19,1
99,10284,67,5,44,4,1996-08-19,1
100,10285,1,45,63,1,1996-08-20,2
101,10285,40,40,63,1,1996-08-20,2
102,10285,53,36,63,1,1996-08-20,2
103,10286,35,100,63,8,1996-08-21,3
104,10286,62,40,63,8,1996-08-21,3
105,10287,16,40,67,8,1996-08-22,3
106,10287,34,20,67,8,1996-08-22,3
107,10287,46,15,67,8,1996-08-22,3
108,10288,54,10,66,4,1996-08-23,1
109,10288,68,3,66,4,1996-08-23,1
110,10289,3,30,11,7,1996-08-26,3
111,10289,64,9,11,7,1996-08-26,3
112,10290,5,20,15,8,1996-08-27,1
113,10290,29,15,15,8,1996-08-27,1
114,10290,49,15,15,8,1996-08-27,1
115,10290,77,10,15,8,1996-08-27,1
116,10291,13,20,61,6,1996-08-27,2
117,10291,44,24,61,6,1996-08-27,2
118,10291,51,2,61,6,1996-08-27,2
119,10292,20,20,81,1,1996-08-28,2
120,10293,18,12,80,1,1996-08-29,3
121,10293,24,10,80,1,1996-08-29,3
122,10293,63,5,80,1,1996-08-29,3
123,10293,75,6,80,1,1996-08-29,3
124,10294,1,18,65,4,1996-08-30,2
125,10294,17,15,65,4,1996-08-30,2
126,10294,43,15,65,4,1996-08-30,2
127,10294,60,21,65,4,1996-08-30,2
128,10294,75,6,65,4,1996-08-30,2
129,10295,56,4,85,2,1996-09-02,2
130,10296,11,12,46,6,1996-09-03,1
131,10296,16,30,46,6,1996-09-03,1
132,10296,69,15,46,6,1996-09-03,1
133,10297,39,60,7,5,1996-09-04,2
134,10297,72,20,7,5,1996-09-04,2
135,10298,2,40,37,6,1996-09-05,2
136,10298,36,40,37,6,1996-09-05,2
137,10298,59,30,37,6,1996-09-05,2
138,10298,62,15,37,6,1996-09-05,2
139,10299,19,15,67,4,1996-09-06,2
140,10299,70,20,67,4,1996-09-06,2
141,10300,66,30,49,2,1996-09-09,2
142,10300,68,20,49,2,1996-09-09,2
143,10301,40,10,86,8,1996-09-09,2
144,10301,56,20,86,8,1996-09-09,2
145,10302,17,40,76,4,1996-09-10,2
146,10302,28,28,76,4,1996-09-10,2
147,10302,43,12,76,4,1996-09-10,2
148,10303,40,40,30,7,1996-09-11,2
149,10303,65,30,30,7,1996-09-11,2
150,10303,68,15,30,7,1996-09-11,2
151,10304,49,30,80,1,1996-09-12,2
152,10304,59,10,80,1,1996-09-12,2
153,10304,71,2,80,1,1996-09-12,2
154,10305,18,25,55,8,1996-09-13,3
155,10305,29,25,55,8,1996-09-13,3
156,10305,39,30,55,8,1996-09-13,3
157,10306,30,10,69,1,1996-09-16,3
158,10306,53,10,69,1,1996-09-16,3
159,10306,54,5,69,1,1996-09-16,3
160,10307,62,10,48,2,1996-09-17,2
161,10307,68,3,48,2,1996-09-17,2
162,10308,69,1,2,7,1996-09-18,3
163,10308,70,5,2,7,1996-09-18,3
164,10309,4,20,37,3,1996-09-19,1
165,10309,6,30,37,3,1996-09-19,1
166,10309,42,2,37,3,1996-09-19,1
167,10309,43,20,37,3,1996-09-19,1
168,10309,71,3,37,3,1996-09-19,1
169,10310,16,10,77,8,1996-09-20,2
170,10310,62,5,77,8,1996-09-20,2
171,10311,42,6,18,1,1996-09-20,3
172,10311,69,7,18,1,1996-09-20,3
173,10312,28,4,86,2,1996-09-23,2
174,10312,43,24,86,2,1996-09-23,2
175,10312,53,20,86,2,1996-09-23,2
176,10312,75,10,86,2,1996-09-23,2
177,10313,36,12,63,2,1996-09-24,2
178,10314,32,40,65,1,1996-09-25,2
179,10314,58,30,65,1,1996-09-25,2
180,10314,62,25,65,1,1996-09-25,2
181,10315,34,14,38,4,1996-09-26,2
182,10315,70,30,38,4,1996-09-26,2
183,10316,41,10,65,1,1996-09-27,3
184,10316,62,70,65,1,1996-09-27,3
185,10317,1,20,48,6,1996-09-30,1
186,10318,41,20,38,8,1996-10-01,2
187,10318,76,6,38,8,1996-10-01,2
188,10319,17,8,80,7,1996-10-02,3
189,10319,28,14,80,7,1996-10-02,3
190,10319,76,30,80,7,1996-10-02,3
191,10320,71,30,87,5,1996-10-03,3
192,10321,35,10,38,3,1996-10-03,2
193,10322,52,20,58,7,1996-10-04,3
194,10323,15,5,39,4,1996-10-07,1
195,10323,25,4,39,4,1996-10-07,1
196,10323,39,4,39,4,1996-10-07,1
197,10324,16,21,71,9,1996-10-08,1
198,10324,35,70,71,9,1996-10-08,1
199,10324,46,30,71,9,1996-10-08,1
200,10324,59,40,71,9,1996-10-08,1
201,10324,63,80,71,9,1996-10-08,1
202,10325,6,6,39,1,1996-10-09,3
203,10325,13,12,39,1,1996-10-09,3
204,10325,14,9,39,1,1996-10-09,3
205,10325,31,4,39,1,1996-10-09,3
206,10325,72,40,39,1,1996-10-09,3
207,10326,4,24,8,4,1996-10-10,2
208,10326,57,16,8,4,1996-10-10,2
209,10326,75,50,8,4,1996-10-10,2
210,10327,2,25,24,2,1996-10-11,1
211,10327,11,50,24,2,1996-10-11,1
212,10327,30,35,24,2,1996-10-11,1
213,10327,58,30,24,2,1996-10-11,1
214,10328,59,9,28,4,1996-10-14,3
215,10328,65,40,28,4,1996-10-14,3
216,10328,68,10,28,4,1996-10-14,3
217,10329,19,10,75,4,1996-10-15,2
218,10329,30,8,75,4,1996-10-15,2
219,10329,38,20,75,4,1996-10-15,2
220,10329,56,12,75,4,1996-10-15,2
221,10330,26,50,46,3,1996-10-16,1
222,10330,72,25,46,3,1996-10-16,1
223,10331,54,15,9,9,1996-10-16,1
224,10332,18,40,51,3,1996-10-17,2
225,10332,42,10,51,3,1996-10-17,2
