submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
12/28/2021,NC,1635870,1380264,255606,7304,1662,19740,17377,2363,30,4,12/28/2021 12:00:00 AM,Agree,Agree
05/23/2021,NC,983457,847368,136089,626,128,13405,11821,1584,7,1,05/23/2021 12:00:00 AM,Agree,Agree
04/22/2020,NC,7330,7330,0,297,0,293,293,0,20,0,04/22/2020 12:00:00 AM,Agree,Agree
03/10/2022,NC,2619907,2192726,427181,915,210,24609,21461,3148,29,5,03/10/2022 12:00:00 AM,Agree,Agree
06/10/2022,NC,2809536,2343966,465570,4192,755,25436,22167,3269,13,4,06/10/2022 12:00:00 AM,Agree,Agree
07/24/2020,NC,109445,108892,553,2236,55,1921,1919,2,31,0,07/24/2020 12:00:00 AM,Agree,Agree
10/30/2020,NC,271400,259970,11430,2741,453,4700,4594,106,41,3,10/30/2020 12:00:00 AM,Agree,Agree
01/14/2022,NC,2049726,1721214,328512,37874,6669,20630,18132,2498,72,11,01/14/2022 12:00:00 AM,Agree,Agree
09/22/2020,NC,199192,194736,4456,1247,141,3603,3566,37,31,1,09/22/2020 12:00:00 AM,Agree,Agree
11/25/2020,NC,348123,328019,20104,4050,681,5656,5461,195,34,5,11/25/2020 12:00:00 AM,Agree,Agree
10/11/2020,NC,230714,223516,7198,1574,65,4109,4048,61,28,5,10/11/2020 12:00:00 AM,Agree,Agree
02/05/2022,NC,2517535,2113087,404448,9933,2039,22727,19865,2862,132,26,02/05/2022 12:00:00 AM,Agree,Agree
07/12/2021,NC,1007408,864900,142508,533,114,13698,12078,1620,3,0,07/12/2021 12:00:00 AM,Agree,Agree
10/04/2021,NC,1405916,1195829,210087,2216,224,17421,15323,2098,56,6,10/04/2021 12:00:00 AM,Agree,Agree
05/01/2021,NC,959029,828730,130299,1707,415,13129,11596,1533,11,1,05/01/2021 12:00:00 AM,Agree,Agree
07/18/2020,NC,97998,97635,363,2342,34,1770,1768,2,23,0,07/18/2020 12:00:00 AM,Agree,Agree
04/29/2022,NC,2664554,2228017,436537,2421,388,25103,21893,3210,5,0,04/29/2022 12:00:00 AM,Agree,Agree
05/18/2022,NC,2718632,2271445,447187,4833,1049,25228,21995,3233,11,2,05/18/2022 12:00:00 AM,Agree,Agree
11/07/2021,NC,1481814,1256524,225290,1359,179,18655,16420,2235,19,1,11/07/2021 12:00:00 AM,Agree,Agree
04/08/2021,NC,916454,796316,120138,2087,459,12862,11365,1497,16,3,04/08/2021 12:00:00 AM,Agree,Agree
08/31/2022,NC,3128728,2591821,536907,3866,1093,26541,23070,3471,14,2,08/31/2022 12:00:00 AM,Agree,Agree
12/08/2021,NC,1548003,1308630,239373,3295,848,19215,16915,2300,15,0,12/08/2021 12:00:00 AM,Agree,Agree
05/24/2021,NC,983902,847726,136176,445,87,13415,11830,1585,10,1,05/24/2021 12:00:00 AM,Agree,Agree
03/17/2020,NC,39,39,0,6,0,1,1,0,0,0,03/17/2020 12:00:00 AM,Agree,Agree
01/10/2022,NC,1913588,1611281,302307,17781,1808,20350,17891,2459,59,4,01/10/2022 12:00:00 AM,Agree,Agree
09/15/2022,NC,3173670,2625494,548176,3409,841,26730,23227,3503,14,2,09/15/2022 12:00:00 AM,Agree,Agree
11/02/2020,NC,277205,265414,11791,1512,69,4810,4696,114,42,3,11/02/2020 12:00:00 AM,Agree,Agree
07/11/2021,NC,1006875,864481,142394,682,166,13695,12075,1620,4,1,07/11/2021 12:00:00 AM,Agree,Agree
10/03/2022,NC,3210904,2653741,557163,904,182,26853,23332,3521,1,0,10/03/2022 12:00:00 AM,Agree,Agree
12/18/2021,NC,1582967,1336171,246796,4116,913,19460,17131,2329,26,3,12/18/2021 12:00:00 AM,Agree,Agree
07/13/2022,NC,2927184,2435803,491381,5173,1328,25823,22471,3352,9,6,07/13/2022 12:00:00 AM,Agree,Agree
02/19/2021,NC,832128,732640,99488,3187,1066,12046,10670,1376,34,4,02/19/2021 12:00:00 AM,Agree,Agree
04/23/2021,NC,945012,818186,126826,1948,440,13034,11515,1519,14,2,04/23/2021 12:00:00 AM,Agree,Agree
01/11/2021,NC,637560,577066,60494,5772,452,8994,8194,800,91,18,01/11/2021 12:00:00 AM,Agree,Agree
03/22/2022,NC,2626257,2197610,428647,457,130,24834,21656,3178,16,0,03/22/2022 12:00:00 AM,Agree,Agree
08/17/2020,NC,147777,146001,1776,886,30,2592,2586,6,31,0,08/17/2020 12:00:00 AM,Agree,Agree
04/21/2022,NC,2650288,2216573,433715,1852,352,25056,21853,3203,2,1,04/21/2022 12:00:00 AM,Agree,Agree
07/16/2022,NC,2941925,2447178,494747,4858,1075,25872,22512,3360,13,2,07/16/2022 12:00:00 AM,Agree,Agree
04/13/2022,NC,2640234,2208492,431742,1235,240,25011,21816,3195,7,0,04/13/2022 12:00:00 AM,Agree,Agree
01/17/2022,NC,2146411,1807534,338877,22506,1239,20875,18344,2531,79,11,01/17/2022 12:00:00 AM,Agree,Agree
05/06/2020,NC,12912,12912,0,438,0,539,539,0,25,0,05/06/2020 12:00:00 AM,Agree,Agree
09/27/2022,NC,3200882,2645928,554954,1908,579,26836,23316,3520,6,0,09/27/2022 12:00:00 AM,Agree,Agree
