Place_Name,State_Name,Language spoken at home (Spanish) (DP02_0116E),Language spoken at home (Spanish) - Percent (DP02_0116PE),FIPS_Place,FIPS_State
Home Garden CDP,California,913,64.3,34281,06
Home Gardens CDP,California,6587,58.5,34302,06
Homeland CDP,California,3226,45.3,34316,06
Homestead Valley CDP,California,182,7.1,34392,06
Homewood Canyon CDP,California,31,12.9,34405,06
Honcut CDP,California,71,41.3,34428,06
Hood CDP,California,45,18.4,34484,06
Hoopa CDP,California,353,11.5,34540,06
Hopland CDP,California,270,32.4,34652,06
Hornbrook CDP,California,7,3.1,34694,06
Hornitos CDP,California,0,0.0,34708,06
Hughson city,California,1605,22.9,34904,06
Humboldt Hill CDP,California,429,13.2,34928,06
Huntington Beach city,California,17304,9.1,36000,06
Huntington Park city,California,48502,90.8,36056,06
Huron city,California,5920,91.4,36084,06
Hyampom CDP,California,0,0.0,36098,06
Hydesville CDP,California,4,0.4,36126,06
Hypericum CDP,California,142,91.0,36135,06
Idlewild CDP,California,0,-666666666.0,36168,06
Idyllwild-Pine Cove CDP,California,330,11.8,36203,06
Igo CDP,California,0,0.0,36252,06
Imperial city,California,10754,65.3,36280,06
Imperial Beach city,California,9508,37.4,36294,06
Independence CDP,California,69,9.7,36350,06
Indian Falls CDP,California,0,0.0,36364,06
Indianola CDP,California,7,1.1,36420,06
Indian Wells city,California,195,3.6,36434,06
Indio city,California,42927,50.7,36448,06
Indio Hills CDP,California,510,77.0,36452,06
Industry city,California,84,36.1,36490,06
Inglewood city,California,46248,45.1,36546,06
Interlaken CDP,California,4360,62.0,36613,06
Inverness CDP,California,59,4.1,36616,06
Inyokern CDP,California,24,4.1,36658,06
Ione city,California,482,6.4,36672,06
Iron Horse CDP,California,26,9.0,36735,06
Irvine city,California,15924,6.3,36770,06
Irwindale city,California,719,56.9,36826,06
Isla Vista CDP,California,2081,13.3,36868,06
Isleton city,California,159,33.2,36882,06
Holtville city,California,4564,79.8,34246,06
Ivanhoe CDP,California,3560,82.2,36910,06
Jackson city,California,203,4.4,36980,06
Jacumba CDP,California,68,11.7,37022,06
Jamestown CDP,California,294,8.9,37106,06
Jamul CDP,California,717,13.1,37120,06
Janesville CDP,California,322,12.3,37134,06
Jenner CDP,California,0,0.0,37274,06
Johannesburg CDP,California,0,0.0,37400,06
Johnson Park CDP,California,0,0.0,37442,06
Johnstonville CDP,California,32,2.8,37484,06
Johnsville CDP,California,0,-666666666.0,37512,06
Jones Valley CDP,California,5,0.4,37533,06
Joshua Tree CDP,California,467,6.3,37554,06
Jovista CDP,California,51,54.8,37568,06
Washington CDP,California,0,0.0,83570,06
Waterford city,California,2791,34.1,83612,06
Waterloo CDP,California,230,27.4,83626,06
Watsonville city,California,35130,72.9,83668,06
Waukena CDP,California,9,19.1,83724,06
Wautec CDP,California,0,0.0,83730,06
Wawona CDP,California,31,18.7,83766,06
Weaverville CDP,California,30,0.9,83794,06
Weed city,California,414,16.0,83850,06
Weedpatch CDP,California,2460,93.2,83863,06
Weitchpec CDP,California,0,0.0,83906,06
Weldon CDP,California,0,0.0,83948,06
Weott CDP,California,38,30.6,84004,06
West Athens CDP,California,3803,43.8,84116,06
West Bishop CDP,California,343,14.3,84120,06
West Carson CDP,California,5882,27.7,84144,06
West Covina city,California,32657,32.7,84200,06
West Goshen CDP,California,539,80.9,84345,06
Westhaven-Moonstone CDP,California,14,1.1,84385,06
West Hollywood city,California,2777,8.0,84410,06
Westlake Village city,California,324,4.1,84438,06
Westley CDP,California,657,100.0,84480,06
West Menlo Park CDP,California,107,3.0,84536,06
Westminster city,California,13960,16.3,84550,06
West Modesto CDP,California,2766,55.1,84578,06
Westmont CDP,California,17404,53.9,84592,06
Westmorland city,California,1829,76.4,84606,06
West Park CDP,California,562,62.9,84680,06
West Point CDP,California,11,1.7,84732,06
West Puente Valley CDP,California,13496,60.0,84774,06
West Rancho Dominguez CDP,California,9641,46.7,84780,06
West Sacramento city,California,10501,21.1,84816,06
Westside CDP,California,192,97.5,84863,06
West Whittier-Los Nietos CDP,California,16088,65.1,84921,06
Westwood CDP,California,22,1.7,84928,06
Wheatland city,California,314,8.9,85012,06
Whitehawk CDP,California,0,0.0,85086,06
Whitewater CDP,California,237,21.5,85208,06
Whitley Gardens CDP,California,0,0.0,85222,06
Whitmore CDP,California,20,4.8,85250,06
Whittier city,California,26486,33.2,85292,06
Wildomar city,California,8215,24.4,85446,06
Wilkerson CDP,California,19,4.2,85551,06
Williams city,California,3325,70.1,85586,06
Williams Canyon CDP,California,56,63.6,85587,06
Willits city,California,470,10.0,85600,06
Willowbrook CDP,California,16413,74.5,85614,06
Willow Creek CDP,California,0,0.0,85642,06
Willows city,California,1349,24.2,85684,06
Wilsonia CDP,California,0,-666666666.0,85866,06
Wilton CDP,California,189,3.8,85880,06
Winchester CDP,California,1255,44.5,85894,06
Windsor town,California,6188,23.4,85922,06
Winter Gardens CDP,California,3250,15.1,85992,06
Winterhaven CDP,California,66,43.7,86020,06
Winters city,California,2518,36.5,86034,06
Julian CDP,California,42,3.4,37582,06
Junction City CDP,California,27,3.9,37596,06
June Lake CDP,California,0,0.0,37624,06
Jurupa Valley city,California,53928,54.3,37692,06
Keddie CDP,California,11,18.3,37904,06
Keeler CDP,California,0,0.0,37918,06
Keene CDP,California,41,16.0,37946,06
Kelly Ridge CDP,California,60,2.1,38024,06
Kelseyville CDP,California,1070,34.9,38044,06
Kennedy CDP,California,1887,72.3,38065,06
Kennedy Meadows CDP,California,0,0.0,38076,06
Kensington CDP,California,200,4.0,38086,06
Kentfield CDP,California,301,4.3,38114,06
Kenwood CDP,California,0,0.0,38156,06
Kep'el CDP,California,0,0.0,38177,06
Kerman city,California,8565,62.5,38226,06
Kernville CDP,California,6,0.8,38310,06
Keswick CDP,California,0,0.0,38352,06
Kettleman City CDP,California,1190,100.0,38394,06
Keyes CDP,California,3484,65.6,38422,06
King City city,California,9369,76.3,38520,06
Kings Beach CDP,California,1030,37.0,38548,06
Kingsburg city,California,1747,15.4,38562,06
Kingvale CDP,California,0,0.0,38604,06
Kirkwood CDP,California,79,60.3,38646,06
Klamath CDP,California,10,1.1,38702,06
