State_Name,State_Abbreviation,Language spoken at home (Spanish) (DP02_0116E),Language spoken at home (Spanish) - Percent (DP02_0116PE),FIPS_State
Arkansas,AR,153429,5.4,05
Washington,WA,602058,8.5,53
Kansas,KS,207181,7.6,20
Oklahoma,OK,269433,7.3,40
Wisconsin,WI,254258,4.6,55
Mississippi,MS,67565,2.4,28
Missouri,MO,149698,2.6,29
Michigan,MI,272275,2.9,26
Rhode Island,RI,123763,12.3,44
Minnesota,MN,203634,3.9,27
Iowa,IA,121749,4.1,19
New Mexico,NM,514071,26.0,35
Nevada,NV,593610,20.9,32
Delaware,DE,64832,7.1,10
Kentucky,KY,113336,2.7,21
South Dakota,SD,17587,2.1,46
Tennessee,TN,264534,4.2,47
Pennsylvania,PA,615972,5.1,42
California,CA,10462968,28.3,06
West Virginia,WV,17467,1.0,54
Utah,UT,297926,10.3,49
New York,NY,2702957,14.7,36
Alaska,AK,23785,3.5,02
Florida,FL,4376716,21.8,12
South Carolina,SC,221714,4.6,45
North Dakota,ND,13295,1.9,38
Maine,ME,11811,0.9,23
Georgia,GA,781103,7.9,13
Alabama,AL,152727,3.3,01
New Hampshire,NH,30856,2.4,33
Oregon,OR,349549,8.9,41
Wyoming,WY,25717,4.7,56
Arizona,AZ,1358980,20.2,04
Louisiana,LA,161117,3.7,22
Indiana,IN,290345,4.6,18
Idaho,ID,131145,8.0,16
Connecticut,CT,403019,11.9,09
Hawaii,HI,29327,2.2,15
Illinois,IL,1596614,13.3,17
Massachusetts,MA,593684,9.1,25
Texas,TX,7666020,28.8,48
Montana,MT,14172,1.4,30
Nebraska,NE,137352,7.7,31
Ohio,OH,252994,2.3,39
Colorado,CO,602273,11.2,08
New Jersey,NJ,1368165,16.4,34
Maryland,MD,470919,8.3,24
Virginia,VA,580417,7.3,51
Vermont,VT,6810,1.1,50
North Carolina,NC,736886,7.5,37
